|ID|       |Name|                                   |Priority|
24108      Teams                                    8         
18592      conhost                                  8         
1128       WUDFHost                                 13        
13992      conhost                                  8         
3880       wlanext                                  8         
2864       svchost                                  8         
1120       svchost                                  8         
7552       audiodg                                  8         
5384       sqlwriter                                8         
6020       ServiceHub.VSDetouredHost                8         
9692       svchost                                  8         
11220      XboxAppServices                          8         
12620      msedge                                   4         
13968      svchost                                  8         
1100       chrome                                   8         
24212      conhost                                  8         
4772       ETDService                               8         
11204      NVIDIA Web Helper                        6         
13960      RuntimeBroker                            8         
4768       conhost                                  8         
16708      msedge                                   4         
4752       ServiceHub.VSDetouredHost                8         
22212      VBCSCompiler                             8         
6588       svchost                                  8         
13932      ServiceHub.TestWindowStoreHost           8         
11172      RuntimeBroker                            8         
4736       esif_uf                                  13        
26148      Laba 15(Framework)                       8         
20356      msedge                                   10        
1052       fontdrvhost                              8         
4720       svchost                                  8         
124        Registry                                 8         
15744      ServiceHub.ThreadedWaitDialog            8         
6552       RuntimeBroker                            8         
20336      svchost                                  8         
2872       mcafee-security                          8         
16656      svchost                                  8         
4708       svchost                                  8         
21244      ServiceHub.DataWarehouseHost             8         
4700       OfficeClickToRun                         8         
5616       svchost                                  8         
1016       lsass                                    9         
5608       wmpnetwk                                 8         
8364       ServiceHub.IdentityHost                  8         
2848       svchost                                  8         
13168      NVIDIA Share                             8         
8356       svchost                                  8         
2840       svchost                                  8         
1920       svchost                                  8         
4676       svchost                                  8         
996        services                                 9         
11104      GoogleCrashHandler64                     4         
17536      conhost                                  8         
4668       IntelCpHDCPSvc                           8         
23964      conhost                                  8         
4660       mDNSResponder                            8         
14768      conhost                                  8         
13848      NVIDIA Share                             8         
6492       chrome                                   4         
1896       MusNotifyIcon                            6         
2812       ServiceHub.RoslynCodeAnalysisService32   6         
5568       conhost                                  8         
3728       svchost                                  8         
8320       nvcontainer                              8         
14752      chrome                                   8         
6480       svchost                                  8         
1884       conhost                                  8         
9232       chrome                                   4         
15660      msedge                                   4         
23008      conhost                                  8         
22088      conhost                                  8         
25760      Teams                                    8         
7376       ETDCtrl                                  10        
940        RuntimeBroker                            8         
7372       chrome                                   8         
13804      svchost                                  8         
936        svchost                                  8         
10124      explorer                                 8         
932        csrss                                    13        
3048       svchost                                  8         
24820      ServiceHub.VSDetouredHost                8         
12872      svchost                                  8         
924        wininit                                  13        
4          System                                   8         
0          Idle                                     0         
